#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
840.0,3849,4949.56233
770.0,2537,4955.265964
540.0,1761,4959.245816
2000.0,3777,4967.809999
1610.0,3449,4975.655744
840.0,2417,4981.315077
910.0,2873,4987.994654
750.0,2833,4994.612
1260.0,2865,5001.041083
1330.0,3361,5008.624408
1380.0,3625,5016.859414
290.0,1569,5020.374728
840.0,2673,5026.403584
410.0,1497,5029.842755
800.0,2265,5035.339988
610.0,2361,5040.98516
690.0,3169,5048.609348
400.0,1697,5052.767032
780.0,3353,5060.649253
570.0,2345,5066.180383
280.0,1329,5069.33164
820.0,2825,5076.206307
800.0,2449,5081.965353
1720.0,3705,5090.785061
840.0,3673,5099.654629
1320.0,3673,5108.39326
320.0,1809,5112.725134
1320.0,3225,5120.524778
1290.0,2721,5127.074261
720.0,2505,5133.025753
570.0,2433,5138.79121
1290.0,2497,5144.854659
1310.0,2561,5151.070635
710.0,2569,5157.486479
1810.0,3601,5166.185642
700.0,2425,5171.918092
630.0,2313,5177.509643
1190.0,2817,5184.632979
380.0,1713,5189.003427
510.0,1993,5193.564983
1320.0,3281,5201.080104
510.0,1913,5205.363389
760.0,2809,5211.69812
540.0,2009,5216.199156
520.0,1833,5220.444183
690.0,2777,5226.753118
680.0,2977,5233.594481
430.0,2353,5238.993816
540.0,1961,5243.626874
1380.0,2857,5250.524332
640.0,2561,5256.743304
1250.0,3665,5265.488892
420.0,2009,5270.322222
750.0,3089,5277.749709
410.0,1441,5281.154951
1690.0,3945,5290.770895
1290.0,2625,5297.167327
390.0,1777,5301.452381
670.0,2193,5306.7878
1820.0,4193,5317.034446
950.0,2689,5323.498694
1200.0,3521,5331.963306
870.0,2065,5336.832578
890.0,2137,5342.062453
1250.0,4081,5351.710705
370.0,1761,5355.850511
790.0,2865,5362.89467
720.0,2641,5369.158017
450.0,1825,5373.559416
1320.0,4129,5383.491266
870.0,2609,5389.701217
1730.0,3801,5398.852853
720.0,1953,5403.615649
580.0,1953,5408.272284
1030.0,2873,5415.040246
520.0,1873,5419.53091
1630.0,4673,5430.88606
520.0,1913,5435.434201
420.0,1833,5439.834304
1680.0,3697,5448.668589
520.0,1849,5453.114426
1020.0,2409,5458.915511
920.0,3337,5466.86215
990.0,3361,5474.963292
490.0,2193,5480.09527
1040.0,2873,5486.929019
240.0,1201,5489.796516
420.0,1873,5494.225895
1010.0,3617,5502.857698
840.0,2649,5509.248894
1550.0,2713,5515.82244
640.0,1985,5520.605246
810.0,2849,5527.505652
890.0,3233,5535.253271
440.0,2065,5540.295509
880.0,2481,5546.351552
240.0,1201,5549.221871
380.0,2129,5554.217195
800.0,2585,5560.450087
950.0,4185,5570.501071
790.0,2505,5576.47694
510.0,2129,5581.650662
770.0,2017,5586.498136
440.0,1585,5590.315831
1190.0,2721,5596.855644
330.0,1569,5600.551414
1510.0,3801,5609.646366
780.0,2689,5616.110167
440.0,1841,5620.445549
490.0,2153,5625.560984
460.0,2057,5630.423947
1210.0,2489,5636.398395
490.0,2241,5641.722318
660.0,2361,5647.465729
270.0,1521,5651.171314
660.0,2881,5658.153674
410.0,1825,5662.636947
530.0,2249,5668.085601
390.0,1889,5672.63054
530.0,2537,5678.634582
930.0,3065,5685.937345
1390.0,3769,5694.948101
760.0,2945,5702.007267
720.0,2617,5708.192047
950.0,2825,5715.012791
680.0,2473,5721.027309
420.0,1897,5725.561544
800.0,3297,5733.529551
1170.0,3337,5741.425851
410.0,1609,5745.158984
360.0,2097,5750.14159
350.0,1873,5754.676155
380.0,2097,5759.656924
420.0,1473,5763.259004
710.0,2489,5769.250055
550.0,2105,5774.321789
2070.0,3681,5783.070866
